S. No,Description,Average Price,% Change,Cities,Value,Month
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Khuz-dar,390,1/1/2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Islam-abad,96.88,1/1/2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Rawal-pindi,89.38,1/1/2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Gujran-wala,70,1/1/2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Sialkot,70,1/1/2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Lahore,74.82,1/1/2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Faisal-abad,95,1/1/2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Sar-godha,65,1/1/2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Multan,87.5,1/1/2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Baha-walpur,60,1/1/2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Karachi,85.54,1/1/2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Hyder-abad,85,1/1/2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Sukkur,65,1/1/2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Larkana,77.5,1/1/2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Pesha-war,84.17,1/1/2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Bannu,53.75,1/1/2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Quetta,93,1/1/2019
3,"Rice Basmati Broken, (AQ) 1 Kg",78.38,0.45,Khuz-dar,80,1/1/2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Islam-abad,61,1/1/2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Rawal-pindi,59.08,1/1/2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Gujran-wala,60,1/1/2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Sialkot,47.5,1/1/2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Lahore,57,1/1/2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Faisal-abad,60,1/1/2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Sar-godha,70,1/1/2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Multan,50,1/1/2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Baha-walpur,47.5,1/1/2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Karachi,56.81,1/1/2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Hyder-abad,53.5,1/1/2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Sukkur,55,1/1/2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Larkana,40.75,1/1/2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Pesha-war,56.67,1/1/2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Bannu,60.5,1/1/2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Quetta,57,1/1/2019
4,Rice Irri-6 (Punjab/Sindh) 1 Kg,55.65,1.63,Khuz-dar,53.75,1/1/2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Islam-abad,45,1/1/2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Rawal-pindi,45,1/1/2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Gujran-wala,45,1/1/2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Sialkot,40,1/1/2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Lahore,44.29,1/1/2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Faisal-abad,45,1/1/2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Sar-godha,45,1/1/2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Multan,45,1/1/2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Baha-walpur,45,1/1/2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Karachi,45.19,1/1/2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Hyder-abad,44,1/1/2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Sukkur,50,1/1/2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Larkana,45,1/1/2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Pesha-war,40,1/1/2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Bannu,35,1/1/2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Quetta,40,1/1/2019
5,"Bread Plain, Medium Size Each",43.44,0.35,Khuz-dar,40,1/1/2019
6,"Beef With Bone, (AQ) 1 Kg",397.39,2.52,Islam-abad,456.88,1/1/2019
6,"Beef With Bone, (AQ) 1 Kg",397.39,2.52,Rawal-pindi,442.08,1/1/2019
6,"Beef With Bone, (AQ) 1 Kg",397.39,2.52,Gujran-wala,375,1/1/2019
6,"Beef With Bone, (AQ) 1 Kg",397.39,2.52,Sialkot,440,1/1/2019
6,"Beef With Bone, (AQ) 1 Kg",397.39,2.52,Lahore,381.96,1/1/2019
6,"Beef With Bone, (AQ) 1 Kg",397.39,2.52,Faisal-abad,375,1/1/2019
6,"Beef With Bone, (AQ) 1 Kg",397.39,2.52,Sar-godha,400,1/1/2019
6,"Beef With Bone, (AQ) 1 Kg",397.39,2.52,Multan,390,1/1/2019
6,"Beef With Bone, (AQ) 1 Kg",397.39,2.52,Baha-walpur,365,1/1/2019
6,"Beef With Bone, (AQ) 1 Kg",397.39,2.52,Karachi,460.92,1/1/2019
6,"Beef With Bone, (AQ) 1 Kg",397.39,2.52,Hyder-abad,390,1/1/2019
6,"Beef With Bone, (AQ) 1 Kg",397.39,2.52,Sukkur,400,1/1/2019
6,"Beef With Bone, (AQ) 1 Kg",397.39,2.52,Larkana,390,1/1/2019
6,"Beef With Bone, (AQ) 1 Kg",397.39,2.52,Pesha-war,358.83,1/1/2019
6,"Beef With Bone, (AQ) 1 Kg",397.39,2.52,Bannu,350,1/1/2019
6,"Beef With Bone, (AQ) 1 Kg",397.39,2.52,Quetta,380,1/1/2019
6,"Beef With Bone, (AQ) 1 Kg",397.39,2.52,Khuz-dar,400,1/1/2019
7,"Mutton, Average Quality 1 Kg",815.98,1.21,Islam-abad,930,1/1/2019
7,"Mutton, Average Quality 1 Kg",815.98,1.21,Rawal-pindi,922.92,1/1/2019
7,"Mutton, Average Quality 1 Kg",815.98,1.21,Gujran-wala,800,1/1/2019
7,"Mutton, Average Quality 1 Kg",815.98,1.21,Sialkot,880,1/1/2019
7,"Mutton, Average Quality 1 Kg",815.98,1.21,Lahore,869.64,1/1/2019
7,"Mutton, Average Quality 1 Kg",815.98,1.21,Faisal-abad,850,1/1/2019
7,"Mutton, Average Quality 1 Kg",815.98,1.21,Sar-godha,875,1/1/2019
7,"Mutton, Average Quality 1 Kg",815.98,1.21,Multan,825,1/1/2019
7,"Mutton, Average Quality 1 Kg",815.98,1.21,Baha-walpur,725,1/1/2019
7,"Mutton, Average Quality 1 Kg",815.98,1.21,Karachi,882.3,1/1/2019
7,"Mutton, Average Quality 1 Kg",815.98,1.21,Hyder-abad,800,1/1/2019
7,"Mutton, Average Quality 1 Kg",815.98,1.21,Sukkur,750,1/1/2019
7,"Mutton, Average Quality 1 Kg",815.98,1.21,Larkana,825,1/1/2019
7,"Mutton, Average Quality 1 Kg",815.98,1.21,Pesha-war,811.83,1/1/2019
7,"Mutton, Average Quality 1 Kg",815.98,1.21,Bannu,600,1/1/2019
7,"Mutton, Average Quality 1 Kg",815.98,1.21,Quetta,775,1/1/2019
7,"Mutton, Average Quality 1 Kg",815.98,1.21,Khuz-dar,750,1/1/2019
8,"Chicken Farm, Broiler, Live 1 Kg",135.09,-21.29,Islam-abad,135.71,1/1/2019
8,"Chicken Farm, Broiler, Live 1 Kg",135.09,-21.29,Rawal-pindi,123.75,1/1/2019
8,"Chicken Farm, Broiler, Live 1 Kg",135.09,-21.29,Gujran-wala,118,1/1/2019
8,"Chicken Farm, Broiler, Live 1 Kg",135.09,-21.29,Sialkot,124,1/1/2019
8,"Chicken Farm, Broiler, Live 1 Kg",135.09,-21.29,Lahore,122.4,1/1/2019
8,"Chicken Farm, Broiler, Live 1 Kg",135.09,-21.29,Faisal-abad,120,1/1/2019
8,"Chicken Farm, Broiler, Live 1 Kg",135.09,-21.29,Sar-godha,114,1/1/2019
8,"Chicken Farm, Broiler, Live 1 Kg",135.09,-21.29,Multan,131.5,1/1/2019
8,"Chicken Farm, Broiler, Live 1 Kg",135.09,-21.29,Baha-walpur,120,1/1/2019
8,"Chicken Farm, Broiler, Live 1 Kg",135.09,-21.29,Karachi,145.89,1/1/2019
8,"Chicken Farm, Broiler, Live 1 Kg",135.09,-21.29,Hyder-abad,135.5,1/1/2019
8,"Chicken Farm, Broiler, Live 1 Kg",135.09,-21.29,Sukkur,144,1/1/2019
8,"Chicken Farm, Broiler, Live 1 Kg",135.09,-21.29,Larkana,125,1/1/2019
8,"Chicken Farm, Broiler, Live 1 Kg",135.09,-21.29,Pesha-war,131.8,1/1/2019
8,"Chicken Farm, Broiler, Live 1 Kg",135.09,-21.29,Bannu,138,1/1/2019
8,"Chicken Farm, Broiler, Live 1 Kg",135.09,-21.29,Quetta,165,1/1/2019
8,"Chicken Farm, Broiler, Live 1 Kg",135.09,-21.29,Khuz-dar,202,1/1/2019
9,"Milk, Fresh, Unboiled 1 Ltr",86.8,0.99,Islam-abad,102.5,1/1/2019
9,"Milk, Fresh, Unboiled 1 Ltr",86.8,0.99,Rawal-pindi,100.83,1/1/2019
9,"Milk, Fresh, Unboiled 1 Ltr",86.8,0.99,Gujran-wala,90,1/1/2019
9,"Milk, Fresh, Unboiled 1 Ltr",86.8,0.99,Sialkot,80,1/1/2019
9,"Milk, Fresh, Unboiled 1 Ltr",86.8,0.99,Lahore,77.68,1/1/2019
9,"Milk, Fresh, Unboiled 1 Ltr",86.8,0.99,Faisal-abad,90,1/1/2019
9,"Milk, Fresh, Unboiled 1 Ltr",86.8,0.99,Sar-godha,70,1/1/2019
9,"Milk, Fresh, Unboiled 1 Ltr",86.8,0.99,Multan,83.33,1/1/2019
9,"Milk, Fresh, Unboiled 1 Ltr",86.8,0.99,Baha-walpur,67.5,1/1/2019
9,"Milk, Fresh, Unboiled 1 Ltr",86.8,0.99,Karachi,94.19,1/1/2019
9,"Milk, Fresh, Unboiled 1 Ltr",86.8,0.99,Hyder-abad,94,1/1/2019
9,"Milk, Fresh, Unboiled 1 Ltr",86.8,0.99,Sukkur,80,1/1/2019
9,"Milk, Fresh, Unboiled 1 Ltr",86.8,0.99,Larkana,91,1/1/2019
9,"Milk, Fresh, Unboiled 1 Ltr",86.8,0.99,Pesha-war,95,1/1/2019
9,"Milk, Fresh, Unboiled 1 Ltr",86.8,0.99,Bannu,84.5,1/1/2019
9,"Milk, Fresh, Unboiled 1 Ltr",86.8,0.99,Quetta,95,1/1/2019
9,"Milk, Fresh, Unboiled 1 Ltr",86.8,0.99,Khuz-dar,80,1/1/2019
10,Curd (Dahi) 1 Kg,102.82,0.47,Islam-abad,116.25,1/1/2019
10,Curd (Dahi) 1 Kg,102.82,0.47,Rawal-pindi,112.92,1/1/2019
10,Curd (Dahi) 1 Kg,102.82,0.47,Gujran-wala,100,1/1/2019
10,Curd (Dahi) 1 Kg,102.82,0.47,Sialkot,90,1/1/2019
10,Curd (Dahi) 1 Kg,102.82,0.47,Lahore,91.5,1/1/2019
10,Curd (Dahi) 1 Kg,102.82,0.47,Faisal-abad,97.5,1/1/2019
10,Curd (Dahi) 1 Kg,102.82,0.47,Sar-godha,90,1/1/2019
10,Curd (Dahi) 1 Kg,102.82,0.47,Multan,97.5,1/1/2019
10,Curd (Dahi) 1 Kg,102.82,0.47,Baha-walpur,80,1/1/2019
10,Curd (Dahi) 1 Kg,102.82,0.47,Karachi,141.65,1/1/2019
10,Curd (Dahi) 1 Kg,102.82,0.47,Hyder-abad,135,1/1/2019
10,Curd (Dahi) 1 Kg,102.82,0.47,Sukkur,100,1/1/2019
10,Curd (Dahi) 1 Kg,102.82,0.47,Larkana,95,1/1/2019
10,Curd (Dahi) 1 Kg,102.82,0.47,Pesha-war,106.67,1/1/2019
10,Curd (Dahi) 1 Kg,102.82,0.47,Bannu,94,1/1/2019
10,Curd (Dahi) 1 Kg,102.82,0.47,Quetta,110,1/1/2019
10,Curd (Dahi) 1 Kg,102.82,0.47,Khuz-dar,90,1/1/2019
11,"Powdered Milk, Nido, Polybag 400 gm",405.44,0.49,Islam-abad,410.26,1/1/2019
11,"Powdered Milk, Nido, Polybag 400 gm",405.44,0.49,Rawal-pindi,410.26,1/1/2019
11,"Powdered Milk, Nido, Polybag 400 gm",405.44,0.49,Gujran-wala,410.26,1/1/2019
11,"Powdered Milk, Nido, Polybag 400 gm",405.44,0.49,Sialkot,410.26,1/1/2019
11,"Powdered Milk, Nido, Polybag 400 gm",405.44,0.49,Lahore,410,1/1/2019
11,"Powdered Milk, Nido, Polybag 400 gm",405.44,0.49,Faisal-abad,405,1/1/2019
11,"Powdered Milk, Nido, Polybag 400 gm",405.44,0.49,Sar-godha,410.25,1/1/2019
11,"Powdered Milk, Nido, Polybag 400 gm",405.44,0.49,Multan,410.25,1/1/2019
11,"Powdered Milk, Nido, Polybag 400 gm",405.44,0.49,Baha-walpur,410,1/1/2019
11,"Powdered Milk, Nido, Polybag 400 gm",405.44,0.49,Karachi,400,1/1/2019
11,"Powdered Milk, Nido, Polybag 400 gm",405.44,0.49,Hyder-abad,400,1/1/2019
11,"Powdered Milk, Nido, Polybag 400 gm",405.44,0.49,Sukkur,389.74,1/1/2019
11,"Powdered Milk, Nido, Polybag 400 gm",405.44,0.49,Larkana,416,1/1/2019
11,"Powdered Milk, Nido, Polybag 400 gm",405.44,0.49,Pesha-war,390,1/1/2019
11,"Powdered Milk, Nido, Polybag 400 gm",405.44,0.49,Bannu,410.25,1/1/2019
11,"Powdered Milk, Nido, Polybag 400 gm",405.44,0.49,Quetta,400,1/1/2019
11,"Powdered Milk, Nido, Polybag 400 gm",405.44,0.49,Khuz-dar,400,1/1/2019
12,"Eggs Hen, Farm Dozen",116.29,-0.69,Islam-abad,116.13,1/1/2019
12,"Eggs Hen, Farm Dozen",116.29,-0.69,Rawal-pindi,108.78,1/1/2019
12,"Eggs Hen, Farm Dozen",116.29,-0.69,Gujran-wala,116.75,1/1/2019
12,"Eggs Hen, Farm Dozen",116.29,-0.69,Sialkot,115,1/1/2019
12,"Eggs Hen, Farm Dozen",116.29,-0.69,Lahore,109.2,1/1/2019
12,"Eggs Hen, Farm Dozen",116.29,-0.69,Faisal-abad,109.7,1/1/2019
12,"Eggs Hen, Farm Dozen",116.29,-0.69,Sar-godha,110,1/1/2019
12,"Eggs Hen, Farm Dozen",116.29,-0.69,Multan,111,1/1/2019
12,"Eggs Hen, Farm Dozen",116.29,-0.69,Baha-walpur,110,1/1/2019
12,"Eggs Hen, Farm Dozen",116.29,-0.69,Karachi,119.3,1/1/2019
12,"Eggs Hen, Farm Dozen",116.29,-0.69,Hyder-abad,119.63,1/1/2019
12,"Eggs Hen, Farm Dozen",116.29,-0.69,Sukkur,125.6,1/1/2019
12,"Eggs Hen, Farm Dozen",116.29,-0.69,Larkana,112,1/1/2019
12,"Eggs Hen, Farm Dozen",116.29,-0.69,Pesha-war,118.33,1/1/2019
12,"Eggs Hen, Farm Dozen",116.29,-0.69,Bannu,120,1/1/2019
12,"Eggs Hen, Farm Dozen",116.29,-0.69,Quetta,133,1/1/2019
12,"Eggs Hen, Farm Dozen",116.29,-0.69,Khuz-dar,122.5,1/1/2019
13,"Mustard Oil, Average Quality 1 Kg",189.83,0.88,Islam-abad,246.25,1/1/2019
13,"Mustard Oil, Average Quality 1 Kg",189.83,0.88,Rawal-pindi,241.67,1/1/2019
13,"Mustard Oil, Average Quality 1 Kg",189.83,0.88,Gujran-wala,170,1/1/2019
13,"Mustard Oil, Average Quality 1 Kg",189.83,0.88,Sialkot,160,1/1/2019
13,"Mustard Oil, Average Quality 1 Kg",189.83,0.88,Lahore,187.86,1/1/2019
13,"Mustard Oil, Average Quality 1 Kg",189.83,0.88,Faisal-abad,200,1/1/2019
13,"Mustard Oil, Average Quality 1 Kg",189.83,0.88,Sar-godha,190,1/1/2019
13,"Mustard Oil, Average Quality 1 Kg",189.83,0.88,Multan,184.17,1/1/2019
13,"Mustard Oil, Average Quality 1 Kg",189.83,0.88,Baha-walpur,170,1/1/2019
13,"Mustard Oil, Average Quality 1 Kg",189.83,0.88,Karachi,184.23,1/1/2019
13,"Mustard Oil, Average Quality 1 Kg",189.83,0.88,Hyder-abad,160,1/1/2019
13,"Mustard Oil, Average Quality 1 Kg",189.83,0.88,Sukkur,150,1/1/2019
13,"Mustard Oil, Average Quality 1 Kg",189.83,0.88,Larkana,195,1/1/2019
13,"Mustard Oil, Average Quality 1 Kg",189.83,0.88,Pesha-war,222,1/1/2019
13,"Mustard Oil, Average Quality 1 Kg",189.83,0.88,Bannu,176,1/1/2019
13,"Mustard Oil, Average Quality 1 Kg",189.83,0.88,Quetta,190,1/1/2019
13,"Mustard Oil, Average Quality 1 Kg",189.83,0.88,Khuz-dar,200,1/1/2019
14,"Cooking Oil, Tin, (SN) 2.5 Ltr",511.68,1.31,Islam-abad,520,1/1/2019
14,"Cooking Oil, Tin, (SN) 2.5 Ltr",511.68,1.31,Rawal-pindi,520,1/1/2019
14,"Cooking Oil, Tin, (SN) 2.5 Ltr",511.68,1.31,Gujran-wala,520,1/1/2019
14,"Cooking Oil, Tin, (SN) 2.5 Ltr",511.68,1.31,Sialkot,520,1/1/2019
14,"Cooking Oil, Tin, (SN) 2.5 Ltr",511.68,1.31,Lahore,515,1/1/2019
14,"Cooking Oil, Tin, (SN) 2.5 Ltr",511.68,1.31,Faisal-abad,520,1/1/2019
14,"Cooking Oil, Tin, (SN) 2.5 Ltr",511.68,1.31,Sar-godha,520,1/1/2019
14,"Cooking Oil, Tin, (SN) 2.5 Ltr",511.68,1.31,Multan,520,1/1/2019
14,"Cooking Oil, Tin, (SN) 2.5 Ltr",511.68,1.31,Baha-walpur,520,1/1/2019
14,"Cooking Oil, Tin, (SN) 2.5 Ltr",511.68,1.31,Karachi,510,1/1/2019
14,"Cooking Oil, Tin, (SN) 2.5 Ltr",511.68,1.31,Hyder-abad,506.2,1/1/2019
14,"Cooking Oil, Tin, (SN) 2.5 Ltr",511.68,1.31,Sukkur,510,1/1/2019
14,"Cooking Oil, Tin, (SN) 2.5 Ltr",511.68,1.31,Larkana,500,1/1/2019
14,"Cooking Oil, Tin, (SN) 2.5 Ltr",511.68,1.31,Pesha-war,507.4,1/1/2019
14,"Cooking Oil, Tin, (SN) 2.5 Ltr",511.68,1.31,Bannu,515,1/1/2019
14,"Cooking Oil, Tin, (SN) 2.5 Ltr",511.68,1.31,Quetta,515,1/1/2019
14,"Cooking Oil, Tin, (SN) 2.5 Ltr",511.68,1.31,Khuz-dar,460,1/1/2019
15,"Vegetable Ghee, Tin, (SN) 2.5 Kg",491.14,0.64,Islam-abad,495,1/1/2019
15,"Vegetable Ghee, Tin, (SN) 2.5 Kg",491.14,0.64,Rawal-pindi,495,1/1/2019
15,"Vegetable Ghee, Tin, (SN) 2.5 Kg",491.14,0.64,Gujran-wala,495,1/1/2019
15,"Vegetable Ghee, Tin, (SN) 2.5 Kg",491.14,0.64,Sialkot,495,1/1/2019
15,"Vegetable Ghee, Tin, (SN) 2.5 Kg",491.14,0.64,Lahore,506,1/1/2019
15,"Vegetable Ghee, Tin, (SN) 2.5 Kg",491.14,0.64,Faisal-abad,495,1/1/2019
15,"Vegetable Ghee, Tin, (SN) 2.5 Kg",491.14,0.64,Sar-godha,495,1/1/2019
15,"Vegetable Ghee, Tin, (SN) 2.5 Kg",491.14,0.64,Multan,495,1/1/2019
15,"Vegetable Ghee, Tin, (SN) 2.5 Kg",491.14,0.64,Baha-walpur,495,1/1/2019
15,"Vegetable Ghee, Tin, (SN) 2.5 Kg",491.14,0.64,Karachi,490,1/1/2019
15,"Vegetable Ghee, Tin, (SN) 2.5 Kg",491.14,0.64,Hyder-abad,488.4,1/1/2019
15,"Vegetable Ghee, Tin, (SN) 2.5 Kg",491.14,0.64,Sukkur,490,1/1/2019
15,"Vegetable Ghee, Tin, (SN) 2.5 Kg",491.14,0.64,Larkana,490,1/1/2019
15,"Vegetable Ghee, Tin, (SN) 2.5 Kg",491.14,0.64,Pesha-war,492,1/1/2019
15,"Vegetable Ghee, Tin, (SN) 2.5 Kg",491.14,0.64,Bannu,490,1/1/2019
15,"Vegetable Ghee, Tin, (SN) 2.5 Kg",491.14,0.64,Quetta,488,1/1/2019
15,"Vegetable Ghee, Tin, (SN) 2.5 Kg",491.14,0.64,Khuz-dar,455,1/1/2019
16,Vegetable Ghee (Loose) 1 Kg,157.77,0.5,Islam-abad,159.06,1/1/2019
16,Vegetable Ghee (Loose) 1 Kg,157.77,0.5,Rawal-pindi,155.63,1/1/2019
16,Vegetable Ghee (Loose) 1 Kg,157.77,0.5,Gujran-wala,155,1/1/2019
16,Vegetable Ghee (Loose) 1 Kg,157.77,0.5,Sialkot,155,1/1/2019
16,Vegetable Ghee (Loose) 1 Kg,157.77,0.5,Lahore,155,1/1/2019
16,Vegetable Ghee (Loose) 1 Kg,157.77,0.5,Faisal-abad,149.4,1/1/2019
16,Vegetable Ghee (Loose) 1 Kg,157.77,0.5,Sar-godha,146,1/1/2019
16,Vegetable Ghee (Loose) 1 Kg,157.77,0.5,Multan,160,1/1/2019
16,Vegetable Ghee (Loose) 1 Kg,157.77,0.5,Baha-walpur,160,1/1/2019
16,Vegetable Ghee (Loose) 1 Kg,157.77,0.5,Karachi,160.42,1/1/2019
16,Vegetable Ghee (Loose) 1 Kg,157.77,0.5,Hyder-abad,195,1/1/2019
16,Vegetable Ghee (Loose) 1 Kg,157.77,0.5,Sukkur,145,1/1/2019
16,Vegetable Ghee (Loose) 1 Kg,157.77,0.5,Larkana,130,1/1/2019
16,Vegetable Ghee (Loose) 1 Kg,157.77,0.5,Pesha-war,167.5,1/1/2019
16,Vegetable Ghee (Loose) 1 Kg,157.77,0.5,Bannu,170,1/1/2019
16,Vegetable Ghee (Loose) 1 Kg,157.77,0.5,Quetta,194,1/1/2019
16,Vegetable Ghee (Loose) 1 Kg,157.77,0.5,Khuz-dar,125,1/1/2019
17,Bananas Dozen,68.93,7.1,Islam-abad,124.38,1/1/2019
17,Bananas Dozen,68.93,7.1,Rawal-pindi,98.33,1/1/2019
17,Bananas Dozen,68.93,7.1,Gujran-wala,60,1/1/2019
17,Bananas Dozen,68.93,7.1,Sialkot,65,1/1/2019
17,Bananas Dozen,68.93,7.1,Lahore,69.64,1/1/2019
17,Bananas Dozen,68.93,7.1,Faisal-abad,55,1/1/2019
17,Bananas Dozen,68.93,7.1,Sar-godha,54,1/1/2019
17,Bananas Dozen,68.93,7.1,Multan,78.33,1/1/2019
17,Bananas Dozen,68.93,7.1,Baha-walpur,65,1/1/2019
17,Bananas Dozen,68.93,7.1,Karachi,67.04,1/1/2019
17,Bananas Dozen,68.93,7.1,Hyder-abad,51.5,1/1/2019
17,Bananas Dozen,68.93,7.1,Sukkur,55,1/1/2019
17,Bananas Dozen,68.93,7.1,Larkana,47,1/1/2019
17,Bananas Dozen,68.93,7.1,Pesha-war,72.67,1/1/2019
17,Bananas Dozen,68.93,7.1,Bannu,66,1/1/2019
17,Bananas Dozen,68.93,7.1,Quetta,74,1/1/2019
17,Bananas Dozen,68.93,7.1,Khuz-dar,69,1/1/2019
18,"Pulse Masoor, Washed 1 Kg",121.31,2.57,Islam-abad,137.5,1/1/2019
18,"Pulse Masoor, Washed 1 Kg",121.31,2.57,Rawal-pindi,120,1/1/2019
18,"Pulse Masoor, Washed 1 Kg",121.31,2.57,Gujran-wala,150,1/1/2019
18,"Pulse Masoor, Washed 1 Kg",121.31,2.57,Sialkot,150,1/1/2019
18,"Pulse Masoor, Washed 1 Kg",121.31,2.57,Lahore,133.93,1/1/2019
18,"Pulse Masoor, Washed 1 Kg",121.31,2.57,Faisal-abad,134,1/1/2019
18,"Pulse Masoor, Washed 1 Kg",121.31,2.57,Sar-godha,140,1/1/2019
18,"Pulse Masoor, Washed 1 Kg",121.31,2.57,Multan,110,1/1/2019
18,"Pulse Masoor, Washed 1 Kg",121.31,2.57,Baha-walpur,105,1/1/2019
18,"Pulse Masoor, Washed 1 Kg",121.31,2.57,Karachi,112.31,1/1/2019
