S. No,Description,Average Price,% Change,Cities,Value,Month
1,Wheat 10 Kg,352.79,0.9,Islam-abad,357.5,1/1/2019
1,Wheat 10 Kg,352.79,0.9,Rawal-pindi,357.5,1/1/2019
1,Wheat 10 Kg,352.79,0.9,Gujran-wala,362.5,1/1/2019
1,Wheat 10 Kg,352.79,0.9,Sialkot,362.5,1/1/2019
1,Wheat 10 Kg,352.79,0.9,Lahore,347.5,1/1/2019
1,Wheat 10 Kg,352.79,0.9,Faisal-abad,342,1/1/2019
1,Wheat 10 Kg,352.79,0.9,Sar-godha,325,1/1/2019
1,Wheat 10 Kg,352.79,0.9,Multan,332.5,1/1/2019
1,Wheat 10 Kg,352.79,0.9,Baha-walpur,346,1/1/2019
1,Wheat 10 Kg,352.79,0.9,Karachi,388,1/1/2019
1,Wheat 10 Kg,352.79,0.9,Hyder-abad,364.5,1/1/2019
1,Wheat 10 Kg,352.79,0.9,Sukkur,325,1/1/2019
1,Wheat 10 Kg,352.79,0.9,Larkana,345,1/1/2019
1,Wheat 10 Kg,352.79,0.9,Pesha-war,366,1/1/2019
1,Wheat 10 Kg,352.79,0.9,Bannu,366,1/1/2019
1,Wheat 10 Kg,352.79,0.9,Quetta,360,1/1/2019
1,Wheat 10 Kg,352.79,0.9,Khuz-dar,350,1/1/2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Islam-abad,393.5,1/1/2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Rawal-pindi,392.41,1/1/2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Gujran-wala,380,1/1/2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Sialkot,390,1/1/2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Lahore,392.5,1/1/2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Faisal-abad,398,1/1/2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Sar-godha,365,1/1/2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Multan,378,1/1/2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Baha-walpur,390,1/1/2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Karachi,450.85,1/1/2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Hyder-abad,420,1/1/2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Sukkur,390,1/1/2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Larkana,382,1/1/2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Pesha-war,391.16,1/1/2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Bannu,400,1/1/2019
2,"Wheat Flour, Bag 10 Kg",394.91,0.09,Quetta,410,1/1/2019
